"Entity","Age.standardized.cervical.cancer.incidence.rate.per.100.000.women"
"Yemen",2.14
"Iraq",2.18
"Saudi Arabia",2.36
"Syria",2.51
"Iran",2.53
"Bahrain",2.66
"Egypt",2.77
"Kuwait",3.06
"Palestine",3.12
"Jordan",3.19
