"Entity","Age.standardized.cervical.cancer.incidence.rate.per.100.000.women"
"Eswatini",95.89
"Zambia",71.5
"Malawi",70.85
"Zimbabwe",68.2
"Tanzania",64.75
"Lesotho",60.49
"Guinea",55.01
"Uganda",53.76
"Comoros",52.01
"Mozambique",47.79
